source,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,target
Vietnam,190.0,250.0,400.0,650.0,640.0,450.0,310.0,390.0,690.0,650.0,530.0,630.0,550.0,420.0,420.0,660.0,-60.0,250.0,Western Australia
Vietnam,1110.0,1330.0,2080.0,3170.0,3830.0,2750.0,1960.0,1500.0,3150.0,3600.0,2700.0,2910.0,2920.0,2570.0,3030.0,2640.0,-1200.0,2770.0,Victoria
Vietnam,20.0,10.0,30.0,40.0,30.0,20.0,20.0,0.0,20.0,30.0,50.0,50.0,50.0,100.0,130.0,90.0,-30.0,60.0,Tasmania
Vietnam,170.0,240.0,370.0,400.0,500.0,370.0,240.0,270.0,360.0,510.0,420.0,540.0,520.0,540.0,640.0,720.0,-110.0,580.0,South Australia
Vietnam,230.0,590.0,640.0,670.0,1030.0,750.0,530.0,590.0,790.0,940.0,740.0,600.0,790.0,730.0,800.0,940.0,-80.0,570.0,Queensland
Vietnam,20.0,20.0,30.0,30.0,50.0,50.0,60.0,30.0,150.0,-10.0,50.0,30.0,-20.0,80.0,90.0,80.0,10.0,110.0,Northern Territory
Vietnam,770.0,1260.0,1750.0,2430.0,2920.0,2280.0,1570.0,1890.0,2750.0,2930.0,2770.0,2980.0,3180.0,2710.0,2710.0,2240.0,80.0,2110.0,New South Wales
Vietnam,30.0,50.0,60.0,100.0,140.0,120.0,80.0,60.0,90.0,100.0,60.0,80.0,130.0,110.0,70.0,100.0,-40.0,100.0,Australian Capital Territory
"UK, CIs & IOM",5960.0,7750.0,8890.0,8550.0,7900.0,5120.0,7010.0,9800.0,7010.0,2890.0,1350.0,710.0,380.0,510.0,960.0,2360.0,-120.0,210.0,Western Australia
"UK, CIs & IOM",3850.0,4660.0,4880.0,4960.0,4870.0,4120.0,4950.0,5590.0,4390.0,2420.0,2360.0,2460.0,3000.0,2630.0,2190.0,2300.0,-1480.0,-170.0,Victoria
"UK, CIs & IOM",170.0,220.0,170.0,210.0,210.0,120.0,90.0,130.0,100.0,70.0,60.0,60.0,100.0,60.0,80.0,170.0,0.0,20.0,Tasmania
"UK, CIs & IOM",1940.0,2890.0,2750.0,2730.0,2390.0,1960.0,1270.0,2200.0,1410.0,780.0,580.0,500.0,470.0,410.0,520.0,670.0,40.0,280.0,South Australia
"UK, CIs & IOM",4880.0,5880.0,7580.0,7680.0,6790.0,3860.0,4020.0,5730.0,4590.0,1490.0,1470.0,1960.0,2380.0,1320.0,1470.0,2270.0,-250.0,780.0,Queensland
"UK, CIs & IOM",150.0,80.0,140.0,150.0,270.0,90.0,150.0,450.0,480.0,230.0,130.0,90.0,20.0,-80.0,-70.0,-50.0,-60.0,130.0,Northern Territory
