source,target,value
Vietnam,Western Australia,2580.0
Vietnam,Victoria,14270.0
Vietnam,Tasmania,150.0
Vietnam,South Australia,2050.0
Vietnam,Queensland,3910.0
Vietnam,Northern Territory,200.0
Vietnam,New South Wales,11410.0
Vietnam,Australian Capital Territory,500.0
"UK, CIs & IOM",Western Australia,44170.0
"UK, CIs & IOM",Victoria,27340.0
"UK, CIs & IOM",Tasmania,1100.0
"UK, CIs & IOM",South Australia,14660.0
"UK, CIs & IOM",Queensland,36670.0
"UK, CIs & IOM",Northern Territory,880.0
"UK, CIs & IOM",New South Wales,39900.0
"UK, CIs & IOM",Australian Capital Territory,1470.0
Sri Lanka,Western Australia,2480.0
Sri Lanka,Victoria,16460.0
Sri Lanka,Tasmania,130.0
Sri Lanka,South Australia,1320.0
Sri Lanka,Queensland,2850.0
Sri Lanka,Northern Territory,110.0
Sri Lanka,New South Wales,6030.0
Sri Lanka,Australian Capital Territory,490.0
South Africa,Western Australia,16310.0
South Africa,Victoria,6660.0
South Africa,Tasmania,490.0
South Africa,South Australia,2790.0
South Africa,Queensland,14130.0
South Africa,Northern Territory,440.0
South Africa,New South Wales,10030.0
South Africa,Australian Capital Territory,440.0
Philippines,Western Australia,9770.0
Philippines,Victoria,12010.0
Philippines,Tasmania,370.0
Philippines,South Australia,3450.0
Philippines,Queensland,10350.0
Philippines,Northern Territory,1870.0
Philippines,New South Wales,15930.0
Philippines,Australian Capital Territory,670.0
New Zealand,Western Australia,19220.0
New Zealand,Victoria,21040.0
New Zealand,Tasmania,490.0
New Zealand,South Australia,2230.0
New Zealand,Queensland,57260.0
New Zealand,Northern Territory,390.0
New Zealand,New South Wales,22550.0
New Zealand,Australian Capital Territory,580.0
Malaysia,Western Australia,8730.0
Malaysia,Victoria,11400.0
Malaysia,Tasmania,430.0
Malaysia,South Australia,2780.0
Malaysia,Queensland,4550.0
Malaysia,Northern Territory,140.0
Malaysia,New South Wales,6430.0
Malaysia,Australian Capital Territory,450.0
"Korea, South",Western Australia,2290.0
"Korea, South",Victoria,6330.0
"Korea, South",Tasmania,270.0
"Korea, South",South Australia,2310.0
"Korea, South",Queensland,10990.0
"Korea, South",Northern Territory,-20.0
"Korea, South",New South Wales,21720.0
"Korea, South",Australian Capital Territory,350.0
India,Western Australia,14950.0
India,Victoria,89840.0
India,Tasmania,840.0
India,South Australia,15620.0
India,Queensland,26370.0
India,Northern Territory,810.0
India,New South Wales,58520.0
India,Australian Capital Territory,2110.0
China,Western Australia,10450.0
China,Victoria,52410.0
China,Tasmania,1790.0
China,South Australia,13810.0
China,Queensland,18200.0
China,Northern Territory,570.0
China,New South Wales,64880.0
China,Australian Capital Territory,3100.0
