source,target,sum
Vietnam,Western Australia,3200.0
Vietnam,Victoria,15820.0
Vietnam,Tasmania,170.0
Vietnam,South Australia,2340.0
Vietnam,Queensland,4190.0
Vietnam,Northern Territory,310.0
Vietnam,New South Wales,14890.0
Vietnam,Australian Capital Territory,470.0
"UK, CIs & IOM",Western Australia,28770.0
"UK, CIs & IOM",Victoria,22170.0
"UK, CIs & IOM",Tasmania,510.0
"UK, CIs & IOM",South Australia,6740.0
"UK, CIs & IOM",Queensland,19260.0
"UK, CIs & IOM",Northern Territory,1530.0
"UK, CIs & IOM",New South Wales,31580.0
"UK, CIs & IOM",Australian Capital Territory,1560.0
South Africa,Western Australia,9320.0
South Africa,Victoria,4460.0
South Africa,Tasmania,170.0
South Africa,South Australia,1530.0
South Africa,Queensland,7110.0
South Africa,Northern Territory,330.0
South Africa,New South Wales,6500.0
South Africa,Australian Capital Territory,610.0
Philippines,Western Australia,16220.0
Philippines,Victoria,16020.0
Philippines,Tasmania,440.0
Philippines,South Australia,4700.0
Philippines,Queensland,13590.0
Philippines,Northern Territory,2970.0
Philippines,New South Wales,21470.0
Philippines,Australian Capital Territory,1260.0
Pakistan,Western Australia,3390.0
Pakistan,Victoria,12340.0
Pakistan,Tasmania,360.0
Pakistan,South Australia,2120.0
Pakistan,Queensland,2940.0
Pakistan,Northern Territory,200.0
Pakistan,New South Wales,13930.0
Pakistan,Australian Capital Territory,830.0
New Zealand,Western Australia,17800.0
New Zealand,Victoria,25210.0
New Zealand,Tasmania,200.0
New Zealand,South Australia,1420.0
New Zealand,Queensland,33170.0
New Zealand,Northern Territory,780.0
New Zealand,New South Wales,18570.0
New Zealand,Australian Capital Territory,810.0
Nepal,Western Australia,1490.0
Nepal,Victoria,4410.0
Nepal,Tasmania,810.0
Nepal,South Australia,1390.0
Nepal,Queensland,3510.0
Nepal,Northern Territory,630.0
Nepal,New South Wales,15140.0
Nepal,Australian Capital Territory,330.0
Malaysia,Western Australia,7710.0
Malaysia,Victoria,16800.0
Malaysia,Tasmania,450.0
Malaysia,South Australia,1500.0
Malaysia,Queensland,3640.0
Malaysia,Northern Territory,80.0
Malaysia,New South Wales,6200.0
Malaysia,Australian Capital Territory,290.0
India,Western Australia,18960.0
India,Victoria,56050.0
India,Tasmania,960.0
India,South Australia,10920.0
India,Queensland,19990.0
India,Northern Territory,1830.0
India,New South Wales,52200.0
India,Australian Capital Territory,3350.0
China,Western Australia,10780.0
China,Victoria,60290.0
China,Tasmania,1280.0
China,South Australia,11190.0
China,Queensland,19230.0
China,Northern Territory,550.0
China,New South Wales,63570.0
China,Australian Capital Territory,4290.0
